# SpotBugs LOW-confidence reviewed inventory.
# Format: type|priority|class|method|methodDescriptor|field|fieldDescriptor|count
# Every change requires review against documentation/StaticAnalysis.md.
AT_STALE_THREAD_WRITE_OF_PRIMITIVE|2|com.googlecode.cqengine.ConcurrentIndexedCollection$1|hasNext|()Z|autoClosed|Z|1
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE|3|com.googlecode.cqengine.index.sqlite.SQLiteBusyException|getSQLiteException|()Lorg/sqlite/SQLiteException;|||1
BC_UNCONFIRMED_CAST|2|com.googlecode.cqengine.query.parser.cqn.grammar.CQNGrammarParser|sempred|(Lorg/antlr/v4/runtime/RuleContext;II)Z|||1
BC_UNCONFIRMED_CAST|2|com.googlecode.cqengine.query.parser.sql.grammar.SQLGrammarParser|sempred|(Lorg/antlr/v4/runtime/RuleContext;II)Z|||1
BC_UNCONFIRMED_CAST|3|com.googlecode.cqengine.index.compound.CompoundIndex|retrieve|(Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;)Lcom/googlecode/cqengine/resultset/ResultSet;|||1
BC_UNCONFIRMED_CAST|3|com.googlecode.cqengine.index.hash.HashIndex|retrieve|(Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;)Lcom/googlecode/cqengine/resultset/ResultSet;|||2
BC_UNCONFIRMED_CAST|3|com.googlecode.cqengine.index.navigable.NavigableIndex|retrieve|(Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;)Lcom/googlecode/cqengine/resultset/ResultSet;|||5
BC_UNCONFIRMED_CAST|3|com.googlecode.cqengine.index.radix.RadixTreeIndex|retrieve|(Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;)Lcom/googlecode/cqengine/resultset/ResultSet;|||3
BC_UNCONFIRMED_CAST|3|com.googlecode.cqengine.index.radixinverted.InvertedRadixTreeIndex|retrieve|(Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;)Lcom/googlecode/cqengine/resultset/ResultSet;|||5
BC_UNCONFIRMED_CAST|3|com.googlecode.cqengine.index.radixreversed.ReversedRadixTreeIndex|retrieve|(Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;)Lcom/googlecode/cqengine/resultset/ResultSet;|||3
BC_UNCONFIRMED_CAST|3|com.googlecode.cqengine.index.sqlite.RequestScopeConnectionManager|close|(Lcom/googlecode/cqengine/persistence/RequestScopeTransactionOutcome;)V|||1
BC_UNCONFIRMED_CAST|3|com.googlecode.cqengine.index.sqlite.RequestScopeConnectionManager|commitOpenTransactions|()V|||1
BC_UNCONFIRMED_CAST|3|com.googlecode.cqengine.index.suffix.SuffixTreeIndex|retrieve|(Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;)Lcom/googlecode/cqengine/resultset/ResultSet;|||4
BC_UNCONFIRMED_CAST|3|com.googlecode.cqengine.index.unique.UniqueIndex|retrieve|(Lcom/googlecode/cqengine/query/Query;Lcom/googlecode/cqengine/query/option/QueryOptions;)Lcom/googlecode/cqengine/resultset/ResultSet;|||2
CT_CONSTRUCTOR_THROW|2|com.googlecode.cqengine.attribute.OrderControlAttribute|<init>|(Lcom/googlecode/cqengine/attribute/Attribute;Ljava/lang/String;)V|||1
CT_CONSTRUCTOR_THROW|2|com.googlecode.cqengine.attribute.ReflectiveAttribute|<init>|(Ljava/lang/Class;Ljava/lang/Class;Ljava/lang/String;)V|||1
CT_CONSTRUCTOR_THROW|2|com.googlecode.cqengine.attribute.support.AbstractAttribute|<init>|()V|||1
CT_CONSTRUCTOR_THROW|2|com.googlecode.cqengine.attribute.support.AbstractAttribute|<init>|(Ljava/lang/String;)V|||1
CT_CONSTRUCTOR_THROW|2|com.googlecode.cqengine.index.compound.support.CompoundAttribute|<init>|(Ljava/util/List;)V|||1
